GISJOIN,county_name,total,bachelors_degree,gini_index,median_household_income,median_age,white,black,native_american,asian,poverty,owned,occupied
G3400130,Essex County,795404,0.35457676198742566,0.5551,61510,0.1,0.4293616828680771,0.3972786156468914,0.0022579720494239407,0.05331378771039623,0.15801755134613177,0.4399212334037523,0.9010254826449511
G3400150,Gloucester County,291165,0.3300348432055749,0.4174,87283,0.2,0.8144213761956279,0.10155753610495767,0.0010509504919890783,0.03106486013085364,0.07429741247249533,0.8012353681320776,0.924421729744019
G3400170,Hudson County,670046,0.4227742612944656,0.5038,71189,0.1,0.5475758380767888,0.12129764225142751,0.003951967476859798,0.15209702020458296,0.1524665913924372,0.31684784079879036,0.9168625615606353
G3400190,Hunterdon County,124823,0.5269790857181471,0.4346,115379,0.1,0.9054581287102538,0.0261810723985163,0.0007771003741297677,0.04121836520513047,0.045217621159930284,0.8284260731319555,0.9388246532269299
G3400210,Mercer County,367922,0.4260707619963318,0.5025,81057,0.2,0.6292991449274574,0.2070167046276113,0.0017096014916205065,0.11111594305314713,0.11644427269214157,0.630502709025982,0.897007352179766
G3400230,Middlesex County,825920,0.4355931278206345,0.432,89533,0.2,0.5789592212320805,0.10349791747384735,0.002271406431615653,0.2402484502130957,0.08494480338559315,0.6350028946860582,0.9450833316753214
G3400250,Monmouth County,621659,0.46042815588324354,0.4764,99733,0.2,0.8238616347547449,0.07160356401178138,0.0015426463704378123,0.05398297137176491,0.06938430239826726,0.73750223060647,0.8997740644317778
G3400270,Morris County,493379,0.5406262833081733,0.459,115527,0.1,0.8153346615887583,0.03450288723273589,0.0014877001250559914,0.10295128086116352,0.047750312685142515,0.7394603153658376,0.940751736587031
G3400290,Ocean County,596415,0.29953921549485524,0.4487,70909,0.2,0.9090750567976996,0.03095998591584719,0.0006639672040441638,0.01873695329594326,0.10093495065538208,0.7996285815351963,0.7983141367540073
G3400310,Passaic County,503637,0.2817183685085604,0.4701,69688,0.2,0.6396015384096085,0.11198343251190838,0.002950537788129149,0.05179127029983897,0.1569219976252346,0.5274891343113964,0.934152126037608
G3400330,Salem County,62990,0.21025047644976858,0.4536,66842,0.4,0.8003968883949834,0.13240196856643913,0.0030481028734719797,0.010747737736148595,0.12410783804827408,0.7111101825930723,0.8672947997825693
G3400350,Somerset County,329838,0.5466452866691649,0.4565,113611,0.2,0.6628284187995319,0.09746299698639939,0.0026861671487214936,0.1767685954923326,0.05136770104868317,0.757862140735915,0.9327319933394888
