,county,GISJOIN,highest_price,lowest_price,crash_amount
544,Klamath County,G4100350,196165.0,146053.0,0.25545841510972905
545,Robertson County,G4701470,156253.0,139746.0,0.10564277165878415
546,Salem County,G3400330,181975.0,145629.0,0.19973073224344004
547,York County,G5101990,318539.0,263999.0,0.1712192227639316
548,Livingston County,G3600510,133294.0,111959.0,0.16005971761669693
549,Fauquier County,G5100610,475298.0,282113.0,0.4064502690943366
550,Herkimer County,G3600430,99574.0,87529.0,0.12096531223010022
551,Rice County,G2701310,196239.0,143160.0,0.2704814027792641
552,Catoosa County,G1300470,143402.0,109886.0,0.23372058967099482
553,Chatham County,G3700370,296313.0,259080.0,0.1256542912393314
554,Liberty County,G1301790,124920.0,99222.0,0.20571565802113354
555,Sampson County,G3701630,84835.0,72576.0,0.14450403724877703
556,Montcalm County,G2601170,134912.0,94182.0,0.3019004981024668
557,Mercer County,G5400550,67578.0,60840.0,0.0997070052383912
558,Crawford County,G0500330,107034.0,98746.0,0.07743333893902872
559,Washington County,G3901670,103661.0,92214.0,0.11042725808163147
560,Kershaw County,G4500550,117344.0,97517.0,0.16896475320425416
561,Saint Joseph County,G2601490,101356.0,81860.0,0.19235171080153124
562,Sandusky County,G3901430,106650.0,87564.0,0.1789592123769339
563,Stanly County,G3701670,153557.0,133776.0,0.1288186145861146
564,Garfield County,G4000470,79604.0,67979.0,0.14603537510677855
565,Jackson County,G1301570,184346.0,139775.0,0.24177904592451152
566,Oldham County,G2101850,261189.0,237755.0,0.08972047061706274
567,Belknap County,G3300010,237189.0,200898.0,0.1530045659790294
568,Genesee County,G3600370,127415.0,100270.0,0.21304399011105443
569,Granville County,G3700770,152153.0,127631.0,0.16116672034070967
570,Warrick County,G1801730,146121.0,138376.0,0.053004017218606495
571,Huron County,G3900770,121414.0,95063.0,0.21703427940764655
572,Barry County,G2600150,157212.0,116618.0,0.25821184133526703
573,Walla Walla County,G5300710,208877.0,163518.0,0.21715650837574266
574,Duplin County,G3700610,82593.0,70696.0,0.14404368408945067
575,Lee County,G3701050,137777.0,117429.0,0.14768793049638185
576,Oxford County,G2300170,219773.0,140166.0,0.3622237490501563
577,Blount County,G0100090,196467.0,171578.0,0.12668285259102038
578,Columbia County,G5500210,175486.0,152591.0,0.13046624801978504
579,Hawkins County,G4700730,111267.0,97912.0,0.12002660267644495
580,Seneca County,G3901470,95165.0,84536.0,0.11169022224557348
581,Edgecombe County,G3700650,68037.0,57702.0,0.15190264120992988
582,Cumberland County,G4700350,160995.0,127166.0,0.21012453802913134
583,Broomfield County,G0800140,308796.0,281228.0,0.08927576782082669
584,Pickaway County,G3901290,149324.0,132393.0,0.11338431866277357
